2703_XX	3429_XXY	3442_XXY	6029_XX	7089B_XXY	7194A_XXY	7205B_XX	7246B_XX	7249B_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7304B_XXYY	7307A_XXY	7367A_XX_tri21	7368A_XX	7369A_XX_tri21	7370A_XX_tri21	7372A_XX_tri21	7389A_XX	7478A_XXYY
GTPBP6	NA	NA	NA	0.907614942528736	NA	NA	0.881954887218045	0.908333333333333	0.73921568627451	0.885064935064935	NA	0.937007874015748	NA	NA	NA	NA	0.869047619047619	0.803571428571428	0.941176470588235	0.771612903225807	0.816326530612245	NA
HCCS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.227272727272727	NA
HCFC1	NA	NA	NA	NA	0.135642414860681	0.169282104514663	0.241698671306307	NA	NA	NA	0.0460526315789474	NA	NA	NA	NA	0.239130434782609	NA	NA	0.0991735537190083	NA	0.252631578947368	NA
HDAC8	0.181818181818182	NA	NA	0.25	NA	0.147058823529412	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HDX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.272727272727273	NA	NA	0.3125
HMGB3	NA	NA	0.21875	0.1	NA	0.34375	0.245833333333334	NA	0.431372549019608	NA	NA	0.147727272727273	NA	NA	NA	NA	NA	NA	0.108108108108108	NA	0.333333333333333	NA
HNRNPH2	NA	NA	NA	NA	NA	NA	0.248	NA	NA	0.130232558139535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.187898089171975	NA
HTATSF1	NA	NA	NA	NA	NA	0.231578947368421	NA	NA	0.202830188679245	0.111888111888112	0.0344827586206897	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HUWE1	NA	NA	0.229508196721311	0.181818181818182	NA	0.150442477876106	0.177631578947368	NA	0.195876288659794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.234972677595628	NA
IDH3G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.375
IDS	NA	NA	NA	0.169103466734494	NA	0.219513718069375	NA	NA	0.25556120053777	NA	0.0413911663581063	0.10848770994734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL3RA	0.653543307086614	NA	NA	0.85	NA	NA	0.58380991285403	0.712749615975423	0.49389724310777	NA	NA	0.857142857142857	0.6	NA	NA	0.638998682476944	NA	0.671674491392801	NA	0.535714285714286	0.958904109589041	NA
IRAK1	NA	NA	NA	NA	NA	0.140625	0.249925371088834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITM2A	NA	NA	0.253333333333333	0.268292682926829	NA	0.459715963986764	0.401234567901235	NA	0.136363636363636	0.233866362078812	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.271604938271605	0.225331607893886
JPX	0.254629629629629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.270588235294118	NA	NA	NA	0.545454545454545	0.6	NA	0.666666666666667	NA	NA	NA
KDM5C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.511050724637682	NA	NA	NA	NA	NA	0.778688524590164	NA
KDM6A	NA	NA	0.622641509433962	0.96969696969697	NA	1	NA	NA	0.862745098039216	0.642857142857143	NA	NA	0.735446792732666	NA	NA	0.945945945945946	0.757575757575758	0.774193548387097	NA	NA	NA	0.907692307692308
KIF4A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0258064516129032	NA	NA	NA	NA	NA	NA	NA	0.114285714285714	NA	NA	NA
KLHL15	NA	NA	NA	0.714285714285714	NA	0.277777777777778	0.178571428571428	NA	NA	0.287798408488064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.304347826086957	NA
LAGE3	NA	NA	NA	NA	NA	NA	NA	0.183333333333334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAMP2	NA	NA	NA	NA	NA	NA	0.222702688163366	0.0771167177251483	0.297043010752688	0.151006264161002	0.914285714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.198025142459437	0.310988532029717
LAS1L	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.114285714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAGED1	NA	NA	0.444444444444444	0.152777777777778	NA	NA	0.265799256505576	0.108108108108108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAGED2	NA	NA	0.287522046806274	0.177618052433342	NA	NA	0.156290740061726	NA	0.221738145909191	0.179398524658832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAGEH1	NA	NA	NA	NA	NA	0.287234042553192	0.267241379310345	0.0864197530864197	0.182608695652174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.173228346456693	0.326086956521739
MAP7D2	0.272727272727273	0.131578947368421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.135135135135135	0.446808510638298	NA	NA	NA	0.156862745098039	NA	0.571428571428571
MAP7D3	NA	NA	0.362738643844635	NA	NA	0.277505000909256	NA	NA	0.275839793281654	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0845070422535211	NA	0.219512195121951	0.410129001433349
MBNL3	NA	NA	NA	0.15	NA	NA	0.305555555555556	NA	NA	0.211396574440053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.192307692307692	0.300813008130081
MBTPS2	0.111111111111111	NA	0.212121212121212	NA	NA	NA	NA	0.0901515151515153	NA	0.0757062146892656	NA	0.100540540540541	NA	NA	NA	NA	NA	NA	0.181818181818182	NA	0.229064039408867	0.114285714285714
